Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Superman avec haltère;Fessier, cuisse, ischio, mollet.;Pieds largeur des épaules et les bras le long du corps.;"Tendre une jambe en arrière en fléchissant le genou et en même temps lever l’haltère en avant.

Maintenir le genou avant sous la cheville et l’arrière cuisse parallèlement au sol.

Remonter en position de départ.

Inspirer sur la descente et tenir les abdominaux.";;3x30 secondes;problème cardio-vasculaire
Dos position de l’enfant;Dos;"S’accroupir au sol avec les bras le long du corps.

Le front touche le sol";"Maintenir le dos rond.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Dos;Maintenir 1 minute et plus.;genoux
Triceps en appui sur banc + haltère;Triceps, épaules.;"Un genou et une main en appui sur le banc. L’autre jambe est tendue au sol avec le genou

fléchit.

Le coude fléchit près du corps.

Courbe du dos neutre.";"Tendre le bras sans bouger le coude.

Revenir lentement en fléchissant le coude et sans le bloquer.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)- douleur lombaire
;;;;;;
Gainage oblique au sol couché sur dos + toucher talon;Obliques.;"Couché sur le dos avec les mains le long du corps.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Genoux fléchis.";"Relever le buste et rapprocher la main du talon

Revenir en position départ et repartir de l’autre côté.

Expirez à chaque inclinaison.";Gainage;3x 15 à 20 répétitions;aucune
Gainage planche avec tape sur le côté;Transverse, épaule.;"Coude et épaule alignés en appuie sur les avant-bras et les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir le bassin statique puis ouvrir le pied sur le côté et revenir dans l’axe de la hanche.

Repartir avec l’autre jambe de l’autre côté.

Tenir les abdominaux. Inspirer avec le nez et expirer avec la bouche.";Abdominaux;3x 15 à 20 répétitions;dos
;;;;;;
Elévation latérale en position de fente + haltère;épaules, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les bras tendus vers l’avant et sous le bassin.

Les poignets dirigés vers l’intérieur.";"Monter les deux bras sur le côté et amener les mains à hauteur des épaules et pas plus !

Revenir lentement en maintenant les bras tendus sans bloquer les coudes, en position de départ.

Tenir les abdominaux.";Elévation;3x15 répétitions;épaule
Elévation latérale en position de fente + élastique;épaules, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les bras tendus sur le côté, le long du corps.

Les poignets dirigés vers l’intérieur.";"Tirer l’élastique sur le côté et amener les mains à hauteur des épaules et pas plus !

Revenir lentement en maintenant les bras tendus sans bloquer les coudes, en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;problème d’épaule
Planche au sol + monter sur main.;Transverse, épaule.;"Coude et épaule alignés en appuie sur les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Venir en appui sur les mains l’une après l’autre.

Revenir sur les avant-bras.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 12 à 15 répétitions;problème cardio vasculaire
Fente sauté mains à la taille niveau 1;Fessier, cuisse, ischio, mollet.;Pieds joins à la largeur des hanches et les mains à la taille.;"Sauté tout en fléchissant le genou de la jambe avant et arrière.

Maintenir le genou avant sous la cheville et l’arrière cuisse parallèlement au sol.

Remonter en sautant avec force et en même temps amener la jambe arrière devant en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";;3x30 secondes;problème genoux et cardio-vasculaire
Leg extension;cuisse;"Assis, le dos contre le siège.

Les genoux entourent le bord du siège.

Le rouleau est placé sur le coup du pied.";"Tendre les 2 jambes en maintenant les genoux souples.

Revenir en position de départ plus lentement.";Cuisse et arrière cuisse;3x 12 répétitions;aucune
Cuisse debout + flexion du genou;Cuisse;Debout en appui sur une jambe sans bloquer le genou.;"Fléchir le genou et le tenir si possible avec la main.

Pousser les hanches vers le plafond et basculer le bassin.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";Cuisse;Maintenir 1 minute et plus.;aucune
Flament au sol;Muscles collatéraux des cheville, genoux, hanches.;"Debout en appui sur un pied avec le genou légèrement fléchit.

Abdominaux contractés.";Tenir l’équilibre le plus longtemps possible.;Jambe;3x30 à 60 répétitions;aucune
Biceps debout + élastique;Biceps, épaules, abdominaux.;"Debout en appui sur une jambe avec le genou légèrement fléchit. L’autre jambe en arrière.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe lombaire neutre.";"Tirer l’élastique en fléchissant les coudes.

Puis tendre les bras, en maintenant les coudes près de la taille, pour revenir en position de

départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
;;;;;;
Elévation frontale position de fente + haltère;épaules, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit.

La jambe de derrière est fléchie et l’appui sur les pointes des pieds.

Les bras tendus vers le bas, le long du corps.

Courbe lombaire neutre.";"Monter les deux bras sans bloquer les coudes à hauteur des épaules.

Revenir en retenant la descente tout en gardant les bras tendus.

Tenir les abdominaux.";Elévation;3x15 répétitions;épaule
Gainage oblique twister coucher sur ballon sans haltère;Obliques et épaules.;"Tourner sur le côté tout en poussant l’épaule dans le ballon.

Revenir les deux épaules en appuie sur le ballon et les bras tendus au-dessous de la poitrine.

Contracter un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";"Tourner sur le côté tout en poussant l’épaule dans le ballon.

Revenir les deux épaules en appuie sur le ballon et les bras tendus au-dessous de la poitrine.

Contracter un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Gainage, Oblique;3x 20 répétitions;aucune
Tirage poitrine debout position de squat + corde;Grand dorsal, biceps.;"Debout, pieds largeur des épaules et les genoux légèrement fléchis.

Main à l’extrémité de la corde.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Les mains longent la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Fente pied avant sur disque + pied arrière banc + haltère;Fessier, cuisse, ischio, mollet, cheville.;"Pied avant au centre du disque et pied arrière sur le banc.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltère aux mains.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Jump sur le step;Fessier, cuisse, ischio, mollet.;Debout, les pieds largeur des épaules ou un peu plus;"Se propulser avec force pour décoller du sol jambe tendu.

S’assoir en poussant le fessier en arrière et amener l’arrière cuisse parallèlement au sol.

Le dos s’incline à 45° vers l’avant.

Descendre une jambe après l’autre.";Cardio;3x30 secondes;genoux
;;;;;;
DV assis sur le ballon + poulie milieu;Pectoraux, triceps.;"Assis sur le ballon avec la courbe lombaire neutre.

Dos incliné vers l’avant.

Les coudes fléchis à 90° et les mains sous les épaules.";"Tendre les bras et le rejoindre en fin de mouvement sans bloquer les coudes.

Revenir les coudes fléchis à 90° derrière les épaules.

Tenir les abdominaux.";Développé;3x15 répétitions;épaule
Triceps 1 genou bosu + 1 main banc;Triceps, épaules.;"Un genou en appui au centre de bosu, l’autre jambe est tendue et décollé du sol.

Un coude fléchit près du corps, l’autre main en appui sur le banc.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tendre le bras sans bouger ni bloquer le coude.

Revenir lentement en fléchissant le coude à 90°.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
;;;;;;
Squat statique contre le mur;Fessier, cuisse, ischio, mollet.;"Assis contre le mur, pieds parallèles largeur des épaules.

Les genoux à 90° alignés avec les chevilles.";"Amener les arrières cuisses parallèlement au sol et maintenir la posture.

Tenir les abdominaux.";Squat;3x30 à 60 répétitions;genoux
9.2 - Saut latéral;fessier, cuisse, ischio, mollet.;Debout, pieds à la largeur des hanches et les bras le long du corps.;"Sauter en appui sur un pied sur le côté tout en fléchissant le genou de l’autre jambe.

Alterner les sauts de chaque côté

Les bras se coordonnes au mouvement ou garder les coudes à la taille.

Tenir les abdominaux.";;3x 30 secondes;genoux
8.1 - Gainage assis sur le ballon + relevé de jambe;Transverse, dos.;"Assis sur le ballon

Allonger la colonne vertébrale.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Lever lentement un pied après l’autre en maintenant l’équilibre.

Inspirer sur le mouvement. Expirer avec la bouche.";;2x 12 répétitions;Aucune
Tirage bras tendus alternés couché sur le ballon + haltère;Grand dorsal, triceps.;"Positionner la poitrine et le bassin sur le ballon.

Les bras tendus le long du corps.

La tête dans le prolongement de la colonne vertébrale.

Ancrer les pieds dans le sol.";"Effectuer un demi-cercle en maintenant les bras tendus.

Amener les bras à hauteur des oreilles.

Tenir les abdominaux.";Tirage bras tendu;3X12 répétitions;douleur lombaire
Triceps dips + genoux fléchit et pieds ballon;Triceps, épaules.;"Les mains sur le banc légèrement plus large que les épaules.

Les coudes fléchis à 90°.

Les genoux fléchis et les pieds sur le ballon.";"Tendre les bras sans bloquer les coudes, en restant près du banc.

Revenir lentement en fléchissant le coude à 90°sans monter les épaules.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite, épaule
4.2 - Oblique debout avec élastique;Obliques et épaules.;"Debout pieds à la largeur des épaules.

Genoux souples et dos neutre.

Élastique à la main.";"Tourner sur le côté avec les bras tendus en stabilisant le bassin.

Revenir en contractant un peu les abdominaux.

Expirer sur le mouvement.";Jambe;3x 15 répétitions;Aucune
Coiffe des rotateur debout position de fente + haltère;épaules, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les coudes fléchis près de la taille et alignés avec les épaules.

Les poignets dirigés vers l’intérieur.";"Ouvrir les avant- bras vers l’extérieur en gardant l’espace d’une serviette entre les coudes et le corps.

Revenir lentement en maintenant les coudes près de la taille en position de départ.

Tenir les abdominaux.";Coiffe;3x15 répétitions;aucune
Butterfly assis;Pectoraux, triceps.;"Assis avec le dos contre le siège.

La courbe lombaire neutre.

Les bras tendus et les mains sont sous les épaules.";"Amener les mains l’une contre l’autre vers l’avant.

Revenir les coudes souples, légèrement derrière les épaules.

Tenir les abdominaux.";Pectoraux;3x 12 répétitions;épaule
Abduction couché sol avec les deux jambes;Moyen fessier.;"Couché sur le côté. La tête repose sur un bras et l’autre main est en maintien devant le corps.

Ouvrir la cage thoracique et laisser un espace au niveau de votre taille.

Les pieds sont joints.

Abdominaux contractés.";"Soulever les deux jambes en décollant le genou et le milieu de la cuisse du sol.

Revenir sans poser les pieds au sol et repartir.

Expirer lors de l’abduction.";Abduction;3x12 répétitions;aucune
;;;;;;
Biceps à genoux sur le ballon;Biceps, épaules, abdominaux.;"Les genoux en appui sur l’extérieur du ballon.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe du dos neutre.";"Fléchir les coudes et amener les haltères près des bras.

Puis tendre les bras, sans bloquer le coude, pour revenir en position de départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
2.6 - Rowing planche + haltère;Grand dorsal, biceps.;"En appui sur les pieds et sur les haltères.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers le haut en maintenant les deux hanches parallèlement au sol.

L’haltère vient vers l’épaule.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;Problème cardio vasculaire, épaule
2.7 - Triceps à plat ventre sur le ballon + haltère;Triceps, épaules, abdominaux.;"La poitrine et le bassin sur le ballon.

La tête dans le prolongement de la colonne vertébrale.

Les coudes fléchissent près de la taille.

Courbe lombaire neutre.";"Tendre les deux bras en maintenant les coudes à la taille.

Revenir en fléchissant les coudes près de la taille.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
Gainage Jacknif genoux sur le ballon (niveau 1).;Transverse, épaule, cuisse.;"Main et épaule alignés en appui au sol.

Les genoux et le milieu de la cuisse en appui sur le ballon.

Tête dans le prolongement de la colonne.";"Lever un peu le fessier.

Amener les genoux vers la poitrine.

Revenir en position de départ sans creuser le dos.

Expirer avec la bouche lors du mouvement.";Gainage;2x 12 répétitions;poignet
Traction horizontale TRX jambes tendues niveau intermédiaire et avancé;Grand dorsal, biceps.;"Jambes tendues, en appui sur les pieds.

Prise des sangles largeur des épaules et les bras tendus.

Le corps est parallèle au sol.

Courbe lombaire neutre.";"Soulever son poids de corps en fléchissant les coudes et amener les mains vers l’extérieur de la poitrine.

Maintenir la stabilité du bassin.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Traction;3X15 répétitions;épaule
10.2 - Squat guidé à la machine Smith;fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles vers l’avant et largeur des épaules

Placer la barre sur le haut du dos et non pas sur les cervicales.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";;3x 12 répétitions;Aucune
1.6 - Reeverse genoux fléchi;Droit de l’abdomen partie inférieur;"Couché sur le dos.

Courbe lombaire neutre.

Main le long du corps.

Genoux à 90°";"Décoller le fessier, et ramener les genoux vers la poitrine.

Expirez en faisant le mouvement.

Revenir en ramenant les genoux à 90°.";Abdominaux;1x 15 à 20 répétitions;Lombalgie
Fente avec ballon au mur + haltère;Fessier, cuisse, ischio, mollet.;"Ballon contre le mur.

Positionner le ballon entre le haut du fessier et du milieu du dos

Aligner le genou de la jambe avant sous la cheville.

La jambe arrière est relâchée.";"Descendre en poussant le fessier dans le ballon et en fléchissant le genou.

Amener l’arrière cuisse parallèlement au sol.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Squat guidé à la machine Smith;fessier, cuisse, ischio, mollet;"Debout, pieds parallèles vers l’avant et largeur des épaules

Placer la barre sur le haut du dos et non pas sur les cervicales.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Fessier jambe;3x 12 répétitions;aucune
Tirage poitrine latéral à genoux sol + 1 bras;Grand dorsal, biceps.;"A genoux au sol avec un bras tendu sur le côté.

Main à la sangle de l’élastique ou de la poulie.";"Tirer le coude derrière le dos.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Oblique debout avec haltère;Obliques et épaules.;"Debout pieds à la largeur des épaules.

Genoux souples et dos neutre.

Haltère à la main.";"Se pencher sur le côté en contractant un peu les abdominaux.

Inspirer sur la descente.

Remonter en expirant.";Oblique;3x 15 à 20 répétitions;aucune
;;;;;;
10.6 - Leg extension;cuisse;"Assis, le dos contre le siège.

Les genoux entourent le bord du siège.

Le rouleau est placé sur le coup du pied.";"Tendre les 2 jambes en maintenant les genoux souples.

Revenir en position de départ plus lentement.";;3x 12 répétitions;Aucune
Crunch sol avec ramener de genoux;Droit de l’abdomen.;"Couché sur le dos.

Courbe lombaire neutre.

Main derrière la tête.

Genoux à 90°.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps et ramener les genoux vers la poitrine.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";Crunch;3x 15 à 20 répétitions;aucune
Presse à cuisse horizontale;fessier, cuisse, ischio, mollet;"Assis et le dos contre le siège.

Pieds largeur des épaules sur le haut du plateau.

Les jambes sont tendues et les genoux souples.";"Descendre le siège vers le plateau en fléchissant les genoux jusqu’à faire un angle de 90°

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Cuisse et arrière cuisse;3x 12 répétitions;aucune
7.3 - Gainage planche sur les pieds;Transverse, épaule.;"Coude et épaule alignés en appuie sur les avant-bras et les pieds.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";;2x 30 à 60 secondes.;problème cardio vasculaire
Dos couché au sol avec les genoux sur la poitrine;Dos;"Couché au sol.

Les genoux fléchis sur la poitrine";"Encercler les genoux et les pousser le plus possible contre le thorax.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Spoas illiaque;1x 60 secondes;aucune
Tirage bras tendus position de squat + poulie haute;Grand dorsal, biceps.;"Debout, les genoux fléchis.

Bras tenus vers l’avant, main à hauteur des épaules.

Courbe lombaire neutre.";"Tirer la barre vers les cuisses.

Revenir lentement, mains à hauteur des épaules.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
Biceps assis sur le ballon + haltère;Biceps, épaules, abdominaux.;"Assis sur le ballon avec la courbe lombaire neutre.

Les coudes fléchis près de la taille.

Allonger la colonne vertébrale.";"Monter l’haltère en fléchissant les coudes.

Puis tendre les bras, en maintenant les coudes près de la taille, pour revenir en position de

départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
Abduction de hanche sur le côté genoux fléchis à 45°;Fessier, TFL.;"Couché sur le côté, les genoux fléchis à 45° l’un contre l’autre.

Ouvrir le thorax. La tête repose sur le bras.

L’élastique band autour et au-dessus des genoux.";"En maintenant la posture, tirer l’élastique band vers le plafond en ouvrant les genoux le plus possible.

Revenir les genoux l’un contre l’autre.

Expirer lors du mouvement et tenir les abdominaux.";Abduction;3x 15 répétitions;aucune
1.1 - Planche à genoux sol;Transverse, épaule.;"Coude et épaule alignés en appuie sur les avant-bras et les genoux.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Abdominaux;1x 30 à 60 secondes.;Aucune
2.3 - Squat avec haltères;fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";;3x 12 répétitions;Aucune
5.3 - Extension de jambes tendues tête décollée;Transverse – muscle profond de l’abdomen;"Couché sur le dos.

Courbe lombaire neutre.

Mains derrière la tête.

Tête décollée.

Genoux fléchis.";"Tendre les jambes l’une après l’autre entre 45° et 90°

Revenir en position départ.

Expirez à chaque extension de jambes.";Cuisse;3x 16 répétitions;Lombalgie
Extension de jambes tendues avec ballon aux chevilles et relevé de buste;Transverse – muscle profond de l’abdomen, épaule.;"Couché sur le dos.

Courbe lombaire neutre.

Buste décollé.

Jambes tendues à 90°";"Tendre les jambes l’une après l’autre entre 45° et 90° et descendre les bras à hauteur des oreilles.

Revenir en position départ.

Expirez à chaque extension de jambes.";Extension;3x 15 à 20 répétitions;lombalgie
Fente pied avant sur le bosu + haltère;Fessier, cuisse, ischio, mollet, cheville.;"Pied avant sur le centre bosu.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltère aux mains.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Course rapide sprint;Fessier, cuisse, ischio, mollet.;Debout avec le tronc fort et stable en tenant vos abdominaux.;"Courir en sprintant sur place aussi vite que possible.

Maintenir les coudes près de la taille.";;3x30 secondes;problème cardio-vasculaire
Extension de hanche à quatre pattes jambe tendu;Fessier, épaules.;"A quatre pattes, les mains sont en appui au sol et plus large que l’axe des épaules.

Genoux et hanche forme un angle de 90°.

Une jambe tendue.

Elastique band autour et au-dessus des genoux.

Courbe lombaire neutre.";"Monter et tendre la jambe le plus haut possible.

Puis revenir genoux fléchit en position de départ sans poser le genou au sol.

Expirer lors de la montée et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;aucune
;;;;;;
Fente avant + fente arrière avec haltère.;Fessier, cuisse, ischio, mollet.;"Pieds largeur des épaules.

Haltère aux mains.";"Faire un pas en arrière et enchainer avec une flexion du genou.

Revenir en position de départ en mettant le poids du corps sur la jambe d’appui.

Repartir avec la même jambe en faisant un pas en avant et une flexion du genou.

Revenir en position de départ.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
DV assis sur le ballon + élastique;Pectoraux, triceps.;"Assis sur le ballon avec la courbe lombaire neutre.

Dos incliné vers l’avant.

Les coudes fléchis à 90° et les mains sous les épaules.";"Tendre les bras et le rejoindre en fin de mouvement sans bloquer les coudes.

Revenir les coudes fléchis à 90° derrière les épaules.

Tenir les abdominaux.";Développé;3x15 répétitions;épaule
Tirage poitrine debout en position de fente + élastique;Grand dorsal, biceps.;"Genou avant sous la cheville.

La jambe arrière fléchit.

Bras tenus vers l’avant.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Les mains viennent au niveau de l’épaule.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";Tirage poitrine;3X12 répétitions;douleur à l’épaule et épicondylite
9.3 - Fente arrière skating.;fessier, cuisse, ischio, mollet.;Pieds largeur des épaules.;"Faire un pas sur le côté arrière et enchainer avec une flexion du genou.

Revenir en position de départ en mettant le poids du corps sur la jambe d’appui.

Repartir avec l’autre jambe.

Inspirer sur la descente et tenir les abdominaux.";;3x 30 secondes;genoux
Elévation frontale en position de fente + élastique;épaules, pectoraux, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit.

L’autre jambe est en arrière.

Les bras tendus, le long du corps.

Les poignets dirigés vers le plafond.";"Tirer l’élastique vers le haut et amener les mains à hauteur des épaules.

Revenir lentement en maintenant les bras tendus en position de départ.";Elévation;3x15 répétitions;épaule
;;;;;;
Squat avancé;Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

L’élastique band au-dessus des genoux.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Amener les arrières cuisses parallèlement au sol.

Maintenir la position assise et avancer jambes écart, en pivotant légèrement sur le pied.

Revenir en position de départ en reculant.

Tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;genoux
Triceps à plat ventre sur le ballon + élastique;Triceps, épaules, abdominaux.;"La poitrine et le bassin sur le ballon.

La tête dans le prolongement de la colonne vertébrale.

Les coudes fléchis près de la taille.

Courbe lombaire neutre.";"Tendre les deux bras en maintenant les coudes à la taille.

Revenir en fléchissant les coudes près de la taille.

Tenir les abdominaux.";Triceps;3X15 répétitions;épicondylite
;;;;;;
;;;;;;
;;;;;;
Biceps debout à la poulie + barre;Biceps, épaules, abdominaux.;"Debout, pieds largeur des épaules ou plus.

Les bras légèrement tendus devant le corps et les coudes souples.

La courbe lombaire neutre.";"Tirer la barre près des bras en fléchissant les coudes.

Puis tendre les bras, en maintenant les coudes près de la taille, pour revenir en position de

départ.

Tenir les abdominaux.";Biceps;3x 12 répétitions;épicondylite (coude)
Triceps à plat ventre sur le ballon + haltère;Triceps, épaules, abdominaux.;"La poitrine et le bassin sur le ballon.

La tête dans le prolongement de la colonne vertébrale.

Les coudes fléchis près de la taille.

Courbe lombaire neutre.";"Tendre les deux bras en maintenant les coudes à la taille.

Revenir en fléchissant les coudes près de la taille.

Tenir les abdominaux.";Triceps;3X12 répétitions;épicondylite (coude)- douleur lombaire
Pompe jack nife sur le ballon niveau avancé;Pectoraux, triceps, abdominaux.;"Les pieds et les cheville en appui au centre du ballon.

Les mains plus larges que les épaules.

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Remonter les bras tendus sans bloquer les coudes puis faire rouler le ballon vers la poitrine.

Revenir jambes tendues en maintenant le fessier légèrement vers le haut.

Tenir les abdominaux.";Pompe;3x12 répétitions;épaule
Crunch bosu avec pieds au sol;Droit de l’abdomen et transverse.;"Fessier et milieu du dos sur le bosu.

Main derrière la tête.

Genoux fléchis.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Redescendre en posant les omoplates sur le bosu.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;aucune
Extension de jambes tendues tête décollée;Transverse – muscle profond de l’abdomen, épaule.;"Couché sur le dos.

Courbe lombaire neutre.

Mains derrière la tête.

Tête décollée.

Genoux fléchis.";"Tendre les jambes l’une après l’autre entre 45° et 90°.

Revenir en position départ.

Expirez à chaque extension de jambes.";Extension de jambes;3x 15 à 20 répétitions;lombalgie
;;;;;;
Butterfly debout à la poulie haute;Pectoraux, épaule.;"Debout jambes tendues et les genoux légèrement fléchis.

Pieds largeur des épaules ou un peu plus.

Les bras tendus sur le côté avec les coudes légèrement fléchis.

Les mains et les coudes sont sous les épaules.

Courbe lombaire neutre.";"Tirer les poulies et rejoindre les deux mains à hauteur du bassin sans bloquer les coudes.

Revenir bras tendus à hauteur des épaules sans bloquer les coudes.

Tenir les abdominaux.";Butterfly;3x12 répétitions;épaule
Extension de hanche en quadrupédie + élastique;Fessier, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe tendue.

Elastique au centre du corps.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Extension de hanche;3x12 répétitions;problème lombaire et de poignet.
3.8 - Adduction couché sol;Adducteur;"Couché sur le côté. La tête repose sur un bras et l’autre main est sur la hanche.

Ouvrir la cage thoracique et laisser un espace au niveau de votre taille.

La jambe côté plafond est fléchit à 45°.";"Soulever la jambe en décollant le genou et le milieu de la cuisse du sol.

Revenir sans poser le pied au sol.

Expirer lors de l’adduction.";;3x 15 à 20 répétitions;Aucune
Fente pied arrière banc + haltère;Fessier, cuisse, ischio, mollet.;"Pied avant au sol et pied arrière sur le banc.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltères aux mains";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximum.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
8.5 - Genou sur la poitrine couché au sol stretching;Grand fessier;"Couché au sol.

Tendre les jambes au sol";"Amener un genou sur le thorax.

Relâcher les épaules.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.

Faire la même chose avec l’autre côté.";;2x 60 secondes;Aucune
Gainage planche mains sur le ballon + pieds banc.;Transverse, épaule.;"Main et épaule alignés en appuie sur le ballon.

Pieds en appui sur le banc.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.";"Maintenir la position en contractant un peu les abdominaux.

Maintenir le bassin statique et à la même hauteur durant l’exercice.

Inspirer avec le nez et expirer avec la bouche.";Gainage;2x 30 à 60 secondes.;problème cardio vasculaire.
;;;;;;
7.1 - Crunch au sol jambes tendues + ballon cheville;Droit de l’abdomen;"Couché sur le dos.

Courbe lombaire neutre.

Tête au sol avec les mains derrière.

Jambes tendues.

Ballon aux chevilles.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement Revenir sans poser la tête au sol.";;3x 15 répétitions;Aucune
;;;;;;
